"AppName","appversion","LatestVersion","Website","InstalledVersion","Status","License","SourceKey","SearchUrl","Observacao","IsNewVersion","SourceId","IconUrl","TipoApp","IsDeleted"
"Microsoft Teams 04-2026","26072.519.4556.7438","26072.521.4595.7966","https://adoption.microsoft.com/en-us/new-microsoft-teams/","26072.519.4556.7438","UpdateAvailable","Free","microsoft teams",,,"False","Teams","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Teams","app comercial","False"
"MongoDB Command Line Database Tools","100.10.0","100.16.1","https://www.mongodb.com/try/download/database-tools","100.10.0","UpdateAvailable","Free","mongodb command line database tools","https://www.mongodb.com/try/download/database-tools",,"False",,,"app comercial","False"
"MongoDB Compass","","1.49.5","https://www.mongodb.com/products/tools/compass",,"UpdateAvailable","Free","mongodb compass","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'mongodb-compass'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"MongoDB Shell","2.3.4","2.8.3","https://www.mongodb.com/try/download/shell","2.3.4","UpdateAvailable","Free","mongodb shell","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'mongodb-shell'%20and%20IsLatestVersion",,"True",,,"app comercial","False"
"Murex MX.3 PRE-2025","2025-PRE",,,"25","Unknown","Free","murex mx.3 pre-2025",,,"False",,,"app interno","True"
"Murex MX.3 PRO-2025","v62",,,"62.0","Unknown","Free","murex mx.3 pro-2025",,,"False",,,"app interno","True"
"Neo4j-community","2025.10.1","2026.04.0","https://neo4j.com/release-notes/","2025.10.1","UpdateAvailable","Free","neo4j-community","https://neo4j.com/release-notes/",,"False",,,"app comercial","False"
"Neo4j-Desktop","2.1.1.0",,,"2.1.1.0","Unknown","Free","neo4j-desktop",,,"False",,,"app comercial","False"
"Netbeans IDE","26","29.0","https://netbeans.apache.org/download/index.html","26.0","UpdateAvailable","Free","apache netbeans","https://netbeans.apache.org/download/index.html",,"True",,,"app comercial","False"
"Netskope Client - 132.0.20","",,,"132.0.20","Unknown","Free","netskope client",,,"False",,,"app comercial","True"
"Node.js 03-2026","25.8.2","25.9.0","https://nodejs.org/","25.8.2","UpdateAvailable","Free","node.js","https://github.com/nodejs/node/releases/latest",,"False",,"https://nodejs.org/static/images/favicons/favicon.ico","app comercial","False"
"Notepad++ 04-2026","8.9.4","8.9.4","https://notepad-plus-plus.org/downloads/","8.9.4","UpToDate","Free","notepad++","https://github.com/notepad-plus-plus/notepad-plus-plus/releases/latest",,"False",,"https://notepad-plus-plus.org/favicon.ico","app comercial","False"
"NVDA 03-2026","2025.3.3","2025.3.3","https://www.nvaccess.org/download/","2025.3.3","UpToDate","Free","nvda","https://www.nvaccess.org/download/",,"False",,,"app comercial","False"
"Obsidian","1.9.14","1.12.7","https://obsidian.md/","1.9.14","UpdateAvailable","Free","obsidian","https://github.com/obsidianmd/obsidian-releases/releases/latest",,"False",,"https://obsidian.md/favicon.ico","app comercial","False"
"OffSetExplorer","3.0.3.0",,,"3.0.3.0","Unknown","Free","offsetexplorer",,,"False",,,"app comercial","False"
"Omnissa Horizon Client 8","8.16.2","8.17.1.47220","https://www.vmware.com/products/horizon.html","8.16.2","UpdateAvailable","Free","omnissa horizon client",,,"False","Omnissa Horizon Client","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Omnissa Horizon Client","app comercial","False"
"OneDrive - 01-2026","25.238.1204.0001",,,"25.238.1204.0001","Unknown","Free","onedrive",,,"False",,,"app comercial","False"
"OpenSSL 3.5.2 (64-bit)","3.5.2 (64-bit)",,,"3.5.2","Unknown","Free","openssl",,,"False",,,"app comercial","False"
"Opentext Validation for SAP Solutions CE 21.2","",,,"21.2","Unknown","Free","opentext validation for sap solutions ce",,,"False",,,"app comercial","False"
"OpenText Windows Validation Client for SAP Solutions CE 24.4","24.4.5.1",,,"24.4.5.1","Unknown","Free","opentext windows validation client for sap solutions ce",,,"False",,,"app comercial","False"
"Oracle 11_x64","11_x64","7.2.8","https://www.virtualbox.org/","11.0","UpToDate","Free","oracle",,,"False","VirtualBox","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=VirtualBox","app comercial","False"
"Oracle Client","11g R2",,,"11.0","Unknown","Free","oracle client",,,"False",,,"app comercial","False"
"Oracle SQL Developer 24.3.1.347.1826","24.3.1.347.1826","24.3.1.347","https://www.oracle.com/database/sqldeveloper/technologies/download/","24.3.1.347.1826","UpToDate","Free","oracle sql developer","https://www.oracle.com/database/sqldeveloper/technologies/download/",,"False",,"https://www.oracle.com/favicon.ico","app comercial","False"
"OSD - IBM Personal Communications - 13.0.0","13.0.0",,,"13.0.0","Unknown","Licensed","osd - ibm personal communications",,,"False",,,"app comercial","False"
"Outsystems Service Studio - 11.55.42.64376","11.55.42.64376",,,"11.55.42.64376","Unknown","Free","outsystems service studio",,,"False",,,"app comercial","False"
"PAC 24.4.4.0","24.4.4.0","25.11.10.50","https://www.citrix.co.uk/downloads/workspace-app/windows/workspace-app-for-windows-latest.html","24.4.4.0","UpdateAvailable","Free","pac",,,"False","Citrix Workspace","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Citrix Workspace","app comercial","False"
"PDF Arranger","",,,,"Unknown","Free","pdf arranger",,,"False",,,"app comercial","False"
"Pdf24 Creator","11.27.0-x64","11.30.1","https://tools.pdf24.org/en/creator","11.27.0","UpdateAvailable","Free","pdf24 creator","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'pdf24'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"PGAdmin - 4-8.9","","9.14.0","https://www.pgadmin.org/download/","4","UpdateAvailable","Free","pgadmin","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'pgadmin4'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"Postgre ODBC","17.0.0.6",,,"17.0.0.6","Unknown","Free","postgre odbc",,,"False",,,"app comercial","False"
"PowerShell 7 04-2026","7.6.0","3.3.4.21632","https://github.com/heaths/psmsi","7.6.0","UpToDate","Free","powershell",,,"True","PSMSI","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=PSMSI","app comercial","False"
"PyCharm Community","2025.2.1.0","2025.3.3","https://www.jetbrains.com/pycharm/download/","2025.2.1.0","UpdateAvailable","Free","pycharm community",,,"False",,,"app comercial","False"
"Python 03-2026","3.14.3","3.14.4","https://www.python.org/downloads/","3.14.3","UpdateAvailable","Free","python","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'python'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"QualysCloudAgent - 6.3.0.81 - First Installation","6.3.0.81",,,"6.3.0.81","Unknown","Free","qualyscloudagent",,,"False",,,"app comercial","False"
"R","4.5.1","12.0.40664.0","https://www.microsoft.com/en-us/download/details.aspx?id=40784","4.5.1","UpdateAvailable","Free","r",,,"False","VCRedist2013x64","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=VCRedist2013x64","app comercial","False"
"RabbitMQ 04-2026","3.13.7",,,"3.13.7","Unknown","Free","rabbitmq",,,"False",,,"app comercial","False"
"RefinitivWorkspace","1.26.312",,"https://workspace.refinitiv.com","1.26.312","Unknown","Free","refinitivworkspace","https://www.lseg.com/content/dam/data-analytics/en_us/documents/support/workspace/release-notes.pdf",,"False",,,"app comercial","False"
"Report Authority Professional v24.1","24.1",,,"24.1","Unknown","Free","report authority professional",,,"False",,,"app comercial","False"
"Request Builder 7.1.3","",,,"7.1.3","Unknown","Free","request builder",,,"False",,,"app comercial","False"
"RStudio","2024.04.0-735",,"https://posit.co/download/rstudio-desktop/","24.4.0","Unknown","Free","rstudio","https://posit.co/download/rstudio-desktop/",,"False",,,"app comercial","False"
"RTools v45","v45",,,"45.0","Unknown","Free","rtools",,,"False",,,"app comercial","False"
"Salesforce CLI - 2.108.6.0","2.108.6.0","6.0.16","https://developer.salesforce.com/tools/salesforcecli","2.108.6.0","UpdateAvailable","Free","salesforce cli","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'sfdx-cli'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"Sap Logon","",,,,"Unknown","Free","sap logon",,,"False",,,"app comercial","True"
"SAS Add-In 7.15","7.15",,,"7.15","Unknown","Free","sas add-in",,,"False",,,"app comercial","False"
"SAS Enterprise Guide","7.15",,,"7.15","Unknown","Free","sas enterprise guide",,,"False",,,"app comercial","False"
"SifoxDealv3","",,,"3","Unknown","Free","sifoxdealv3",,,"False",,,"app comercial","False"
